Numer;Powierzchnia;Rodzaj;Ulga
529/46;1200,17;R;C
529/47;1056,34;B;C
529/48;532,61;X;C
529/49;1023,13;B;B
529/50;1342,96;B;D
529/51;1399,56;B;C
529/52;1334,25;X;B
529/53;877,71;B;B
529/54;1235,69;X;A
529/55;935,78;B;C
529/56;530,03;S;C
529/57;595,07;B;B
529/58;1420,62;B;B
529/59;1087,44;R;B
529/60;975,33;B;C
529/61;889,32;B;A
529/62;1244,63;B;C
529/63;714,99;S;A
529/64;1126,19;B;B
529/65;1486,17;X;A
529/66;913,74;S;A
529/67;1072,76;B;B
529/68;827,44;R;D
529/69;1463,12;S;B
529/70;536,54;R;A
529/71;550,61;X;C
529/72;783,97;B;B
529/73;547,40;B;B
529/74;1222,14;B;A
529/75;846,58;X;B
529/76;512,83;S;B
529/77;732,51;S;B
529/78;1205,21;X;C
529/79;563,04;X;B
529/80;822,64;B;A
529/81;1381,79;B;B
529/82;803,38;R;D
529/83;1164,33;X;A
529/84;1100,04;X;C
529/85;671,12;B;C
529/86;1306,06;B;C
529/87;1066,22;X;C
529/88;527,94;B;B
529/89;1099,56;R;C
529/90;1029,23;B;C
529/91;1288,52;B;B
529/92;717,70;B;A
529/93;752,72;S;C
529/94;682,48;B;B
529/95;878,69;B;A
529/96;847,89;R;C
529/97;1378,96;B;B
529/98;946,91;B;C
529/99;853,95;B;B
530/10;882,09;S;A
530/11;1230,48;B;C
530/12;745,47;R;A
530/13;508,62;B;C
530/14;1335,26;X;A
530/15;811,80;S;B
530/16;920,65;R;C
530/17;931,43;B;B
530/18;787,63;B;B
530/19;540,30;B;B
530/20;533,35;S;C
530/21;1211,90;S;A
530/22;1291,18;B;D
530/23;937,97;X;C
530/24;987,41;X;C
530/25;529,44;R;A
530/26;799,77;S;C
530/27;784,83;X;C
530/28;998,04;X;C
530/29;949,37;B;B
530/30;1016,95;B;C
530/31;647,83;R;C
530/32;522,76;S;B
530/33;1241,87;R;D
530/34;653,38;X;A
530/35;1103,37;B;C
530/36;1455,53;X;C
530/37;1019,18;X;D
530/38;557,33;S;C
530/39;757,29;B;B
530/40;567,36;R;C
530/41;1241,54;S;C
530/42;1389,85;R;B
530/43;968,72;S;D
530/44;1050,46;B;B
530/45;790,64;X;D
530/46;1119,05;X;B
530/47;1406,36;B;B
530/48;1113,31;B;B
530/49;989,54;S;B
530/50;1463,78;X;C
530/51;1023,17;R;D
530/52;744,56;B;C
530/53;526,80;S;B
530/54;961,18;S;D
530/55;991,89;S;B
530/56;590,01;B;C
530/57;652,57;B;C
530/58;1056,97;S;A
530/59;690,67;R;C
530/60;1300,98;B;B
530/61;1097,62;B;B
530/62;937,64;X;D
530/63;783,59;B;C
530/64;868,91;B;C
530/65;819,30;X;B
530/66;535,37;X;C
530/67;1039,87;B;B
530/68;769,64;B;A
530/69;827,72;R;D
530/70;1285,11;X;C
530/71;1278,12;S;B
530/72;593,33;X;B
530/73;1263,03;S;B
530/74;1432,62;X;B
530/75;975,86;B;C
530/76;1092,77;B;C
530/77;1282,32;B;A
530/78;892,93;B;A
530/79;643,56;B;B
530/80;649,90;X;C
530/81;890,57;X;D
530/82;509,11;B;C
530/83;1223,37;B;C
530/84;926,30;B;C
530/85;1419,04;B;D
530/86;574,45;B;B
530/87;905,78;B;D
530/88;871,98;S;C
530/89;882,88;X;C
530/90;962,64;B;B
530/91;1336,35;X;B
530/92;1487,59;X;C
530/93;860,00;X;C
530/94;1239,98;B;C
530/95;1100,35;S;B
530/96;726,64;S;C
530/97;526,00;S;B
530/98;1076,98;B;C
530/99;1205,27;B;A
531/10;1211,18;R;C
531/11;1190,34;B;B
531/12;535,88;B;D
531/13;1072,08;X;C
531/14;1144,86;B;B
531/15;858,07;X;D
531/16;1279,13;X;A
531/17;524,06;B;C
531/18;1011,15;B;B
531/19;706,34;B;C
531/20;1187,32;X;A
531/21;879,87;X;D
531/22;1442,99;B;D
531/23;858,86;B;A
531/24;1065,27;X;D
531/25;1193,25;X;A
531/26;1112,74;B;A
531/27;1424,04;S;A
531/28;669,28;B;D
531/29;1254,84;B;C
531/30;959,37;B;D
531/31;1176,01;B;C
531/32;836,23;R;A
531/33;863,84;B;B
531/34;944,68;S;B
531/35;939,67;B;A
531/36;738,20;B;B
531/37;1031,19;X;B
531/38;539,58;R;C
531/39;1405,87;B;C
531/40;1254,13;B;C
531/41;1033,42;B;B
531/42;1440,51;B;B
531/43;1424,30;X;C
531/44;1216,03;S;B
531/45;803,38;B;B
531/46;1225,35;X;C
531/47;1375,34;R;C
531/48;1470,81;B;A
531/49;1022,25;B;C
531/50;761,42;B;C
531/51;1075,76;X;C
531/52;1208,39;X;B
531/53;771,26;S;B
531/54;755,69;B;A
531/55;875,63;B;B
531/56;731,18;B;B
531/57;1117,69;S;B
531/58;1087,21;X;B
531/59;743,33;S;B
531/60;1443,71;B;D
531/61;907,79;B;A
531/62;623,39;X;C
531/63;514,43;S;C
531/64;1387,01;R;B
531/65;1001,30;R;B
531/66;988,00;B;B
531/67;1341,49;B;A
531/68;984,19;B;A
531/69;925,34;B;C
531/70;1009,32;B;D
531/71;740,81;L;C
531/72;702,91;S;C
531/73;505,19;B;C
531/74;695,31;X;A
531/75;834,01;B;B
531/76;1056,57;B;D
531/77;749,65;S;C
531/78;508,08;R;C
531/79;1061,94;L;A
531/80;562,89;B;B
531/81;1359,00;S;C
531/82;993,97;B;D
531/83;970,70;B;A
531/84;1482,02;S;D
531/85;1173,61;R;C
531/86;1188,92;S;A
531/87;590,25;X;D
531/88;1020,89;B;D
531/89;1345,73;X;B
531/90;617,04;X;B
531/91;1123,49;R;C
531/92;1024,20;B;A
531/93;864,01;S;C
531/94;628,51;B;B
531/95;774,26;B;D
531/96;1267,29;B;D
531/97;1278,46;B;B
531/98;944,23;B;B
531/99;1470,07;B;B
532/10;788,64;L;D
532/11;1423,46;X;C
532/12;1039,87;B;B
532/13;807,30;X;C
532/14;707,64;B;C
532/15;932,58;S;C
532/16;1122,59;L;B
532/17;1164,95;R;B
532/18;1171,31;L;A
532/19;643,15;S;C
532/20;560,27;S;C
532/21;605,21;L;C
532/22;930,26;B;B
532/23;1340,53;S;D
532/24;529,26;B;B
532/25;1061,27;R;B
532/26;983,44;S;D
532/27;552,62;S;B
532/28;505,73;B;A
532/29;993,44;R;B
532/30;740,08;B;B
532/31;502,69;L;B
532/32;1126,74;L;B
532/33;941,98;S;C
532/34;1401,34;S;B
532/35;778,15;R;C
532/36;1433,00;B;C
532/37;747,95;X;D
532/38;857,86;L;C
532/39;1272,25;B;B
532/40;998,06;B;B
532/41;1121,08;S;A
532/42;1327,84;R;A
532/43;956,83;L;D
532/44;1282,62;B;C
532/45;789,36;X;B
532/46;1470,53;B;C
532/47;1283,12;S;C
532/48;697,99;S;B
532/49;1216,90;L;A
532/50;1341,35;S;A
532/51;621,44;X;C
532/52;1331,38;X;D
532/53;728,69;L;B
532/54;651,20;L;C
532/55;635,50;S;C
532/56;1432,22;B;C
532/57;1054,91;X;A
532/58;1478,06;X;D
532/59;1271,79;S;D
532/60;1424,96;X;B
532/61;789,99;B;B
532/62;664,67;B;B
532/63;946,95;X;A
532/64;1195,96;S;A
532/65;708,55;X;A
532/66;909,39;L;B
532/67;1314,98;R;D
532/68;659,67;B;B
532/69;862,05;B;A
532/70;1444,00;R;B
532/71;775,90;S;C
532/72;1357,49;R;A
532/73;1157,40;B;C
532/74;1031,32;S;C
532/75;837,05;S;B
532/76;922,31;R;B
532/77;1223,28;L;C
532/78;1053,24;L;C
532/79;1116,64;X;C
532/80;757,97;B;B
532/81;1212,49;R;B
532/82;1059,14;X;B
532/83;1013,51;B;A
532/84;873,90;L;C
532/85;819,31;B;C
532/86;610,13;S;B
532/87;1315,92;B;C
532/88;860,97;B;A
532/89;803,40;B;C
532/90;1378,17;B;B
532/91;1253,20;S;B
532/92;889,60;B;B
532/93;983,07;S;B
532/94;938,13;S;B
532/95;603,95;B;C
532/96;650,59;X;B
532/97;613,98;B;A
532/98;1119,09;B;A
532/99;831,29;B;B
533/10;1308,09;B;B
533/11;983,13;B;C
533/12;564,66;B;C
533/13;739,42;B;B
533/14;1022,06;S;B
533/15;824,87;B;D
533/16;1211,26;S;A
533/17;987,09;B;B
533/18;1407,84;R;D
533/19;563,32;R;B
533/20;599,97;S;B
533/21;532,87;S;D
533/22;542,59;B;A
533/23;954,13;B;B
533/24;710,03;S;B
533/25;1398,22;X;B
533/26;1143,69;S;B
533/27;1386,75;B;C
533/28;1439,34;B;B
533/29;946,62;B;B
533/30;958,92;B;B
533/31;783,14;S;C
533/32;1435,44;B;B
533/33;656,13;B;B
533/34;1068,17;B;C
533/35;737,44;X;B
533/36;589,15;B;C
533/37;1208,19;B;B
533/38;892,80;R;B
533/39;1385,24;X;C
533/40;698,74;X;D
533/41;506,51;B;C
533/42;681,85;B;B
533/43;636,38;S;D
533/44;1092,62;S;B
533/45;878,89;S;D
533/46;818,43;S;A
533/47;1040,91;B;B
533/48;1023,92;S;C
533/49;1119,32;X;C
533/50;1073,51;S;B
533/51;1139,95;S;B
533/52;649,83;R;B
533/53;1193,30;S;D
533/54;634,19;X;B
533/55;596,31;B;A
533/56;557,92;B;B
533/57;1495,08;X;A
533/58;1394,74;X;C
533/59;962,07;X;A
533/60;733,59;R;D
533/61;773,31;X;D
533/62;844,62;S;C
533/63;1232,22;B;A
533/64;844,45;S;D
533/65;520,77;R;B
533/66;730,04;B;B
533/67;982,22;R;C
533/68;638,98;B;C
533/69;679,37;X;B
533/70;1276,22;B;D
533/71;925,38;S;B
533/72;1406,52;B;A
533/73;647,29;S;C
533/74;1245,80;B;B
533/75;1187,68;B;B
533/76;1429,72;B;C
533/77;1451,39;B;B
533/78;1277,76;X;B
533/79;1064,40;B;D
533/80;716,09;X;A
533/81;929,12;S;C
533/82;1128,74;B;A
533/83;599,50;S;C
533/84;940,06;B;D
533/85;556,41;B;C
533/86;759,75;R;D
533/87;667,07;R;B
533/88;1496,38;B;A
533/89;1140,98;X;A
533/90;753,98;B;B
533/91;1028,19;B;B
533/92;1050,41;B;C
533/93;1259,41;S;B
533/94;881,87;B;B
533/95;1023,41;L;A
533/96;1098,80;B;C
533/97;534,68;L;B
533/98;1319,71;B;B
533/99;1057,61;B;C
534/10;1002,81;L;D
534/11;801,42;B;A
534/12;912,71;B;B
534/13;899,46;S;B
534/14;813,17;X;B
534/15;1364,61;B;A
534/16;1058,81;X;C
534/17;826,83;S;B
534/18;1468,36;R;B
534/19;1005,98;B;C
534/20;937,16;R;C
534/21;1068,75;S;C
534/22;1373,09;S;B
534/23;1322,84;B;B
534/24;870,66;R;D
534/25;924,56;B;C
534/26;1349,34;B;C
534/27;1109,33;L;C
534/28;986,24;L;C
534/29;1027,21;S;C
534/30;1410,46;X;C
534/31;1316,54;B;C
534/32;903,11;L;C
534/33;626,20;L;B
534/34;1079,96;B;C
534/35;1476,91;S;D
534/36;925,04;S;C
534/37;1022,21;X;B
534/38;1332,33;B;B
534/39;1070,40;S;D
534/40;617,25;B;A
534/41;1214,45;X;B
534/42;1370,50;S;C
534/43;873,39;B;B
534/44;819,43;B;B
534/45;797,81;L;C
534/46;1479,13;L;B
534/47;786,19;B;B
534/48;1342,97;L;B
534/49;539,49;S;B
534/50;555,47;R;A
534/51;1441,00;L;C
534/52;1246,56;S;B
534/53;665,42;B;D
534/54;1306,43;X;B
534/55;699,24;X;B
534/56;1455,81;B;C
534/57;690,89;L;C
534/58;1465,68;B;C
534/59;657,16;S;D
534/60;1227,25;L;C
534/61;1032,97;X;B
534/62;978,66;L;B
534/63;673,87;L;C
534/64;1258,32;L;A
534/65;1158,55;L;D
534/66;1302,67;B;C
534/67;717,38;B;C
534/68;623,00;B;A
534/69;710,52;S;B
534/70;1263,60;S;D
534/71;1000,29;B;A
534/72;1013,98;X;C
534/73;1460,55;B;C
534/74;1238,12;B;C
534/75;747,85;B;D
534/76;820,91;S;B
534/77;1409,08;L;B
534/78;787,35;S;B
534/79;804,47;R;B
534/80;896,76;B;C
534/81;1309,90;L;B
534/82;699,32;B;C
534/83;1191,36;L;B
534/84;574,04;L;B
534/85;877,40;B;B
534/86;1131,67;L;C
534/87;1384,55;S;A
534/88;878,34;S;A
534/89;1415,63;L;C
534/90;1122,88;R;D
534/91;990,09;X;C
534/92;845,69;B;B
534/93;764,94;L;B
534/94;730,25;B;A
534/95;1032,25;S;C
534/96;898,23;L;B
534/97;749,30;S;C
534/98;1130,54;L;C
534/99;1267,14;B;B
535/10;781,54;S;C
535/11;699,71;L;C
535/12;1047,61;S;A
535/13;812,50;B;B
535/14;771,13;X;C
535/15;502,59;X;C
535/16;1179,76;X;D
535/17;660,47;B;C
535/18;715,46;R;C
535/19;750,00;L;B
535/20;977,05;S;C
535/21;796,16;X;A
535/22;1288,31;S;D
535/23;736,04;R;C
535/24;822,57;B;B
535/25;660,69;L;C
535/26;818,29;L;B
535/27;604,79;B;B
535/28;833,12;S;A
535/29;1244,05;B;D
535/30;1034,48;S;A
535/31;830,33;R;A
535/32;897,25;B;B
535/33;1061,11;L;A
535/34;1367,83;B;C
535/35;657,93;B;A
535/36;715,28;S;A
535/37;1008,56;S;C
535/38;1275,60;R;B
535/39;858,07;S;B
535/40;1277,72;S;A
535/41;739,87;B;C
535/42;1488,10;L;C
535/43;816,63;X;B
535/44;1353,90;B;D
535/45;881,08;B;C
535/46;1326,19;X;B
535/47;751,56;S;B
535/48;1329,89;S;B
535/49;1101,15;B;B
535/50;559,03;L;B
535/51;1484,93;B;A
535/52;685,65;S;A
535/53;965,37;B;B
535/54;1151,75;S;C
535/55;583,09;L;B
535/56;727,03;L;C
535/57;1374,44;B;B
535/58;617,40;S;B
535/59;701,13;R;C
535/60;971,29;R;C
535/61;1280,96;X;A
535/62;1495,07;X;A
535/63;1338,81;L;A
535/64;627,09;B;D
535/65;869,97;L;A
535/66;1176,48;X;B
535/67;1426,80;X;B
535/68;848,13;S;D
535/69;647,16;S;A
535/70;975,70;S;A
535/71;569,74;L;A
535/72;592,92;R;C
535/73;1255,37;S;C
535/74;1164,86;L;B
535/75;1282,97;R;C
535/76;1275,06;L;C
535/77;540,74;S;B
535/78;830,16;X;B
535/79;1179,95;B;A
535/80;1486,56;B;B
535/81;723,11;X;D
535/82;870,17;L;D
535/83;1141,65;L;C
535/84;1325,71;X;C
535/85;997,65;S;B
535/86;1138,49;B;A
535/87;1353,86;S;C
535/88;1473,77;B;D
535/89;1130,22;B;D
535/90;1089,42;S;B
535/91;1447,41;S;D
535/92;1262,75;L;C
535/93;664,67;S;C
535/94;899,18;B;A
535/95;1098,76;L;C
535/96;1089,54;S;B
535/97;538,14;B;B
535/98;1324,67;S;D
535/99;789,55;L;D
536/10;1401,58;S;A
536/11;1157,84;B;B
536/12;1325,72;S;B
536/13;1102,41;B;C
536/14;1022,23;L;B
536/15;570,60;X;B
536/16;1034,87;X;C
536/17;665,61;R;B
536/18;1163,71;L;C
536/19;1047,39;S;B
536/20;599,54;B;D
536/21;1265,92;L;B
536/22;780,41;B;B
536/23;613,77;X;C
536/24;1039,13;B;D
536/25;533,93;B;B
536/26;888,96;S;D
536/27;688,35;L;C
536/28;1499,27;B;A
536/29;1492,93;S;C
536/30;1254,21;L;C
536/31;788,09;L;C
536/32;1017,10;X;C
536/33;1117,21;R;B
536/34;1373,01;R;B
536/35;530,58;X;B
536/36;1070,81;S;D
536/37;611,84;S;D
536/38;1096,06;R;C
536/39;636,99;S;B
536/40;1119,34;S;A
536/41;1208,66;L;B
536/42;1440,26;B;A
536/43;976,15;B;C
536/44;972,83;L;C
536/45;1359,74;B;B
536/46;1214,21;X;A
536/47;927,42;B;D
536/48;1365,53;B;C
536/49;1117,49;R;D
536/50;1046,22;B;D
536/51;1116,86;S;D
536/52;889,95;L;D
536/53;1372,93;B;C
536/54;758,59;X;D
536/55;1274,81;B;B
536/56;1164,98;B;B
536/57;508,22;L;C
536/58;1452,71;B;A
536/59;1258,94;B;B
536/60;1218,42;B;D
536/61;1305,60;X;C
536/62;1493,15;L;C
536/63;1400,73;L;B
536/64;764,43;L;C
536/65;679,70;L;D
536/66;591,39;S;B
536/67;1204,16;S;A
536/68;1234,46;L;A
536/69;849,17;B;D
536/70;863,77;X;D
536/71;1251,77;S;B
536/72;837,27;B;B
536/73;1042,81;S;B
536/74;661,33;S;B
536/75;1113,15;B;B
536/76;1493,61;X;A
536/77;989,63;B;A
536/78;1335,91;L;C
536/79;1166,45;X;B
536/80;925,95;L;A
536/81;953,65;B;A
536/82;1015,37;B;A
536/83;1113,96;L;C
536/84;1417,69;B;C
536/85;1383,83;X;C
536/86;770,14;X;D
536/87;798,87;L;C
536/88;912,31;R;B
536/89;1011,86;S;D
536/90;686,03;L;D
536/91;665,64;B;A
536/92;1474,26;L;B
536/93;875,84;L;B
536/94;813,98;S;B
536/95;1309,23;B;D
536/96;1145,19;X;C
536/97;1148,43;R;C
536/98;921,97;B;D
536/99;835,30;X;B
537/10;726,37;S;B
537/11;920,45;B;B
537/12;998,29;B;C
537/13;1414,82;B;B
537/14;1159,75;B;D
537/15;1080,06;B;C
537/16;509,03;S;C
537/17;1370,70;B;B
537/18;853,04;B;C
537/19;951,76;R;C
537/20;1440,27;B;B
537/21;1134,99;X;C
537/22;974,57;B;A
537/23;1480,01;B;D
537/24;1417,28;B;A
537/25;1298,71;B;D
537/26;813,25;R;C
537/27;1126,28;X;C
537/28;1388,96;B;B
537/29;1219,40;B;C
537/30;912,41;S;C
537/31;1031,30;B;B
537/32;647,97;S;B
537/33;950,28;R;B
537/34;872,84;B;D
537/35;1343,79;B;B
537/36;577,63;R;D
537/37;1082,73;X;C
537/38;701,37;R;A
537/39;1334,56;X;B
537/40;925,46;B;D
537/41;1126,59;R;A
537/42;1445,95;B;A
537/43;881,48;B;B
537/44;1274,13;B;B
537/45;1441,72;B;D
537/46;1349,76;X;B
537/47;1245,00;X;B
537/48;1352,65;B;B
537/49;624,54;B;C
537/50;781,74;S;B
537/51;700,50;X;D
537/52;798,06;S;D
537/53;962,28;B;A
537/54;781,34;B;B
537/55;729,34;X;B
537/56;1071,91;B;A
537/57;1481,89;B;B
537/58;811,99;B;C
537/59;720,13;B;B
537/60;626,18;B;C
537/61;895,20;L;A
537/62;940,62;B;B
537/63;1058,15;X;D
537/64;1266,58;L;D
537/65;1292,78;X;C
537/66;564,76;L;D
537/67;691,38;S;B
537/68;1294,21;X;A
537/69;662,45;S;C
537/70;1169,19;R;C
537/71;783,35;X;C
537/72;520,34;S;B
537/73;1447,47;B;A
537/74;820,73;B;B
537/75;597,29;X;A
537/76;1220,29;X;B
537/77;637,09;B;C
537/78;1082,38;X;C
537/79;1264,89;R;C
537/80;659,26;S;C
537/81;848,10;X;C
537/82;1430,72;B;D
537/83;1294,06;X;B
537/84;1149,30;B;B
537/85;1456,27;X;B
537/86;1222,87;B;A
537/87;1063,76;L;C
537/88;1386,03;R;C
537/89;1374,24;B;D
537/90;576,29;R;B
537/91;909,75;X;A
537/92;835,28;R;D
537/93;502,87;L;C
537/94;928,15;X;A
537/95;610,48;X;A
537/96;747,67;B;D
537/97;1064,94;B;A
537/98;977,09;X;C
537/99;1252,08;X;C
538/10;900,66;B;A
538/11;568,96;R;B
538/12;993,76;B;D
538/13;955,34;X;B
538/14;635,21;X;C
538/15;592,38;X;C
538/16;968,48;L;B
538/17;670,86;B;B
538/18;723,10;X;A
538/19;765,86;S;A
538/20;701,84;X;C
538/21;983,40;B;C
538/22;1229,46;L;C
538/23;702,21;S;C
538/24;636,04;X;B
538/25;785,57;X;B
538/26;1324,22;B;D
538/27;1399,70;S;D
538/28;712,72;B;B
538/29;788,44;B;B
538/30;1487,75;B;B
538/31;1434,15;B;C
538/32;1033,49;L;C
538/33;1164,24;L;C
538/34;1219,38;B;B
538/35;706,06;S;A
538/36;1468,98;L;B
538/37;1033,00;B;B
538/38;1293,98;L;B
538/39;1395,99;X;B
538/40;1218,56;B;B
538/41;676,50;B;D
538/42;1126,26;L;B
538/43;1170,83;S;B
538/44;955,45;X;D
538/45;642,42;B;C
538/46;1408,66;S;D
538/47;618,78;R;B
538/48;1292,52;X;B
538/49;1063,94;B;A
538/50;1202,08;L;A
538/51;857,01;R;D
538/52;907,47;S;D
538/53;502,34;X;B
538/54;739,38;X;A
538/55;673,86;B;C
538/56;1148,87;L;C
538/57;1270,78;X;B
538/58;583,99;X;C
538/59;623,93;B;B
538/60;858,97;S;B
538/61;1165,65;R;A
538/62;1094,68;S;C
538/63;1056,86;B;C
538/64;663,68;S;C
538/65;1227,37;S;B
538/66;1245,61;S;D
538/67;1330,61;B;C
538/68;1102,64;L;B
538/69;1191,08;S;B
538/70;831,01;X;B
538/71;590,44;S;B
538/72;898,17;S;A
538/73;1097,32;B;B
538/74;985,38;X;D
538/75;667,50;L;A
538/76;688,20;B;D
538/77;1028,43;B;B
538/78;1377,89;X;B
538/79;516,08;B;D
538/80;604,86;B;C
538/81;557,36;S;C
538/82;1018,86;S;D
538/83;1448,20;R;C
538/84;936,10;S;B
538/85;607,22;X;C
538/86;764,53;S;B
538/87;677,27;B;A
538/88;667,08;B;B
538/89;561,96;L;A
538/90;1193,30;X;B
538/91;589,35;B;B
538/92;1173,23;R;A
538/93;1498,85;B;C
538/94;1461,63;B;A
538/95;871,43;S;B
538/96;522,22;S;D
538/97;917,75;S;C
538/98;1421,27;B;A
538/99;1488,54;B;C
539/10;1147,43;B;D
539/11;1152,82;B;C
539/12;1016,69;X;A
539/13;1095,63;X;C
539/14;1383,46;L;A
539/15;1166,80;B;A
539/16;1402,55;X;B
539/17;696,71;X;B
539/18;569,25;L;B
539/19;804,13;X;A
539/20;607,05;L;D
539/21;1085,66;X;A
539/22;507,66;B;D
539/23;944,22;B;D
539/24;1396,67;B;C
539/25;949,53;B;C
539/26;594,14;R;D
539/27;1293,79;S;A
539/28;1474,28;B;B
539/29;1109,52;R;A
539/30;811,37;X;B
539/31;679,88;B;C
539/32;1316,16;X;C
539/33;1191,21;S;B
539/34;1087,09;X;A
539/35;504,79;X;D
539/36;733,61;B;B
539/37;1010,99;L;B
539/38;1174,65;B;A
539/39;1483,73;B;A
539/40;929,68;S;D
539/41;609,09;L;A
539/42;1131,26;X;D
539/43;1360,81;X;C
539/44;684,71;S;B
539/45;793,33;B;C
539/46;1471,84;B;A
539/47;1126,38;R;C
539/48;1365,80;L;A
539/49;726,15;R;D
539/50;728,88;X;A
539/51;520,06;X;B
539/52;754,14;B;A
539/53;581,13;S;B
539/54;1473,75;B;D
539/55;916,20;R;A
539/56;1203,97;L;C
539/57;1400,01;R;D
539/58;664,98;B;B
539/59;1024,35;B;B
539/60;1396,47;L;B
539/61;954,66;X;D
539/62;926,24;S;D
539/63;823,28;S;B
539/64;636,01;X;D
539/65;1421,99;X;B
539/66;570,88;L;C
539/67;858,76;X;D
539/68;1050,85;X;A
539/69;651,24;B;C
539/70;1023,00;B;C
539/71;1066,67;S;D
539/72;945,17;B;C
539/73;771,00;X;B
539/74;1165,72;X;B
539/75;718,23;R;D
539/76;936,45;L;B
539/77;1099,50;S;C
539/78;1441,90;S;B
539/79;1115,28;X;C
539/80;1356,00;L;C
539/81;1457,51;B;B
539/82;1374,96;B;D
539/83;741,09;B;D
539/84;1464,38;S;B
539/85;908,05;B;A
539/86;1155,13;R;C
539/87;712,77;B;C
539/88;1316,89;B;D
539/89;1393,56;B;B
539/90;1400,65;X;C
539/91;997,43;B;C
539/92;956,89;B;B
539/93;806,35;L;B
539/94;1388,06;S;B
539/95;1337,99;L;C
539/96;642,74;S;C
539/97;550,20;B;A
539/98;751,73;B;C
539/99;984,46;B;B
540/10;592,31;B;D
540/11;1306,67;X;B
540/12;972,51;B;D
540/13;1278,88;R;B
540/14;1107,76;R;C
540/15;545,52;B;B
540/16;744,47;R;A
540/17;685,22;B;C
540/18;755,21;S;C
540/19;1161,26;B;C
540/20;990,97;S;C
540/21;526,94;B;A
540/22;1323,12;X;C
540/23;536,19;B;D
540/24;1106,08;S;D
540/25;1039,93;B;C
540/26;1412,79;B;B
540/27;1188,04;B;A
540/28;971,37;B;D
540/29;1060,36;R;B
540/30;989,50;S;C
540/31;1120,89;X;C
540/32;1448,76;S;D
540/33;523,05;B;C
540/34;1113,74;B;A
540/35;1207,00;X;A
540/36;1186,89;S;C
540/37;676,58;R;B
540/38;870,75;B;A
540/39;823,16;B;C
540/40;1463,63;X;B
540/41;523,93;B;C
540/42;725,74;S;D
540/43;730,59;B;B
540/44;1292,82;X;D
540/45;974,08;B;B
540/46;681,08;X;A
540/47;1050,82;B;A
540/48;1301,39;B;B
540/49;1121,72;S;C
540/50;629,29;X;B
540/51;1490,07;R;C
540/52;1172,96;B;A
540/53;868,62;R;D
540/54;900,08;B;D
540/55;911,27;S;B
540/56;751,74;B;A
540/57;1005,24;B;C
540/58;690,71;X;A
540/59;660,04;R;C
540/60;1441,35;X;C
540/61;674,34;X;C
540/62;864,45;X;A
540/63;946,20;X;D
540/64;808,46;R;B
540/65;1117,48;X;C
540/66;1010,06;B;C
540/67;985,94;R;D
540/68;1139,08;B;D
540/69;1162,92;S;B
540/70;1226,33;X;B
540/71;1044,20;R;C
540/72;1297,98;S;A
540/73;625,49;X;D
540/74;1153,73;S;A
540/75;994,91;B;B
540/76;1194,86;X;A
540/77;901,18;B;A
540/78;748,20;X;B
540/79;1298,77;B;A
540/80;1433,13;B;B
540/81;971,37;B;B
540/82;1007,88;S;D
540/83;559,46;S;A
540/84;643,81;R;B
540/85;1083,39;B;B
540/86;1149,40;B;B
540/87;1448,90;B;C
540/88;898,13;S;B
540/89;766,40;S;D
540/90;1001,90;X;C
540/91;841,68;B;B
540/92;1346,56;R;C
540/93;755,52;B;B
540/94;1187,24;X;B
540/95;1051,48;S;D
540/96;820,27;X;C
540/97;1041,54;B;B
540/98;1222,47;S;B
540/99;1071,43;B;C
541/10;679,73;S;B
541/11;874,00;S;B
541/12;798,31;R;B
541/13;1461,82;B;C
541/14;752,76;S;B
541/15;1063,81;B;A
541/16;890,94;X;B
541/17;1102,20;S;B
541/18;908,40;B;B
541/19;560,56;X;A
541/20;1426,89;L;C
541/21;734,50;S;B
541/22;743,50;X;D
541/23;1138,69;L;C
541/24;1296,12;L;D
541/25;1409,58;X;B
541/26;714,81;X;C
541/27;1355,58;S;B
541/28;1361,29;X;B
541/29;1398,94;B;D
541/30;1202,57;S;B
541/31;699,40;L;C
541/32;1012,36;X;B
541/33;599,39;B;C
541/34;799,42;B;C
541/35;1323,38;S;C
541/36;1114,85;B;D
541/37;1123,40;B;C
541/38;1141,13;S;B
541/39;1225,84;X;C
541/40;1217,33;B;C
541/41;638,84;X;C
541/42;1273,83;B;C
541/43;1450,13;X;C
541/44;981,77;B;C
541/45;1135,69;S;C
541/46;801,40;X;B
541/47;783,75;L;D
541/48;1438,58;B;B
541/49;549,29;S;B
541/50;769,73;B;C
541/51;766,29;X;A
541/52;909,03;L;B
541/53;754,32;X;D
541/54;1346,47;X;B
541/55;893,53;L;B
541/56;588,73;L;A
541/57;1121,78;B;D
541/58;1179,72;S;B
541/59;1229,89;X;C
541/60;982,00;X;B
541/61;1396,21;X;B
541/62;1423,36;L;A
541/63;985,73;B;B
541/64;1040,55;L;B
541/65;1493,53;X;B
541/66;1184,63;B;D
541/67;1450,29;B;D
541/68;529,66;B;C
541/69;1005,44;L;B
541/70;677,86;X;C
541/71;1495,43;B;B
541/72;800,75;R;D
541/73;1386,81;B;C
541/74;1102,48;B;B
541/75;686,24;S;C
541/76;742,93;B;A
541/77;556,49;S;B
541/78;1478,03;B;B
541/79;902,95;L;C
541/80;1055,43;S;D
541/81;566,40;B;A
541/82;790,52;X;B
541/83;877,60;B;C
541/84;1152,05;S;A
